id,area_type,availability,location,size,total_sqft,bath,balcony,price
0,type_I,Ready To Move,Banashankari 2 nd Stage,3 BHK,1030.0,2.0,2.0,77.25
1,type_I,Ready To Move,Balagere,2 BHK,1210.0,2.0,1.0,83.0
2,type_I,17-Oct,Banashankari Stage V,3 BHK,1540.0,3.0,2.0,48.51
3,type_I,Ready To Move,Thigalarapalya,3 BHK,1830.0,4.0,2.0,135.0
4,type_III,Ready To Move,arudi,3 Bedroom,,2.0,0.0,80.0
5,type_I,Ready To Move,Kadugodi,3 BHK,1614.0,2.0,2.0,59.0
6,type_I,Ready To Move,Yelahanka,2 BHK,1270.0,2.0,2.0,78.0
7,type_I,Ready To Move,Koramangala,2 BHK,1325.0,2.0,2.0,119.0
8,type_I,Ready To Move,7th Phase JP Nagar,2 BHK,1035.0,2.0,1.0,39.33
9,type_I,Ready To Move,Kasavanhalli,2 BHK,1230.0,2.0,2.0,66.25
10,type_I,Ready To Move,Rachenahalli,2 BHK,1200.0,2.0,2.0,46.5
11,type_III,Ready To Move,Hoodi,5 Bedroom,3250.0,5.0,2.0,395.0
12,type_I,Ready To Move,Sarjapur  Road,4 BHK,4395.0,4.0,2.0,242.0
13,type_I,Ready To Move,Jakkur,3 BHK,1650.0,3.0,2.0,111.0
14,type_II,Ready To Move,Hebbal,2 BHK,1053.0,2.0,1.0,48.0
15,type_I,Ready To Move,Subash Nagar,2 BHK,1150.0,2.0,2.0,45.0
16,type_I,18-Nov,Hoskote,1 BHK,509.0,1.0,1.0,23.0
17,type_III,Ready To Move,Whitefield,4 Bedroom,4400.0,5.0,2.0,500.0
18,type_I,Ready To Move,M V Extenstion,6 BHK,900.0,5.0,,100.0
19,type_III,18-May,"asha township, off hennur road",5 Bedroom,2400.0,5.0,3.0,285.0
20,type_I,18-May,Hosa Road,2 BHK,1063.0,2.0,1.0,31.9
21,type_II,Ready To Move,Ramamurthy Nagar,4 Bedroom,900.0,4.0,1.0,70.0
22,type_I,20-Dec,Judicial Layout,2 BHK,900.0,2.0,1.0,40.0
23,type_I,Ready To Move,Kanakpura Road,3 BHK,1550.0,3.0,3.0,65.11
24,type_I,Ready To Move,BTM 1st Stage,3 BHK,1852.0,2.0,,95.0
25,type_I,Ready To Move,7th Phase JP Nagar,3 BHK,1370.0,2.0,2.0,54.79
26,type_I,18-Apr,Old Madras Road,2 BHK,1171.0,2.0,2.0,73.0
27,type_II,Ready To Move,Kengeri,3 BHK,1436.0,2.0,2.0,55.0
28,type_III,Ready To Move,Hebbal Kempapura,5 Bedroom,2400.0,5.0,2.0,200.0
29,type_I,Ready To Move,Mysore Road,2 BHK,883.0,2.0,1.0,40.0
30,type_I,Ready To Move,Kumaraswami Layout,2 BHK,1000.0,2.0,1.0,58.0
31,type_I,Ready To Move,NGR Layout,1 BHK,907.0,1.0,1.0,38.0
32,type_I,Ready To Move,1st Block BEL Layout,3 BHK,1540.0,3.0,2.0,85.0
33,type_I,19-Dec,Hoodi,3 BHK,1746.0,3.0,3.0,84.95
34,type_I,Ready To Move,Yeshwanthpur,2 BHK,1169.0,2.0,2.0,64.08
35,type_I,19-Dec,JP Nagar,2 BHK,1300.0,2.0,1.0,91.65
36,type_II,Ready To Move,Kammasandra,2 BHK,990.0,2.0,1.0,31.5
37,type_I,Ready To Move,Gollahalli,2 BHK,1395.0,2.0,1.0,63.59
38,type_III,Ready To Move,Laggere,5 Bedroom,2800.0,5.0,2.0,125.0
39,type_I,18-May,Electronic City Phase II,2 BHK,1160.0,2.0,1.0,52.2
40,type_I,19-Jul,Kanakpura Road,3 BHK,1593.0,3.0,1.0,118.0
41,type_I,Ready To Move,Kengeri,1 BHK,1200.0,1.0,1.0,14.0
42,type_II,Ready To Move,Vasantha Vallabha Nagar,2 BHK,900.0,1.0,1.0,44.0
43,type_I,Ready To Move,Kudlu Gate,3 BHK,1465.0,2.0,2.0,49.81
44,type_III,Ready To Move,Whitefield,4 Bedroom,2000.0,4.0,1.0,312.0
45,type_I,18-Aug,Rajaji Nagar,2 BHK,1268.0,2.0,1.0,127.0
46,type_I,Ready To Move,Bellandur,3 BHK,1830.0,3.0,3.0,89.89
47,type_I,Ready To Move,Sahakara Nagar,2 BHK,1200.0,2.0,1.0,54.0
48,type_I,Ready To Move,Gokula Extension,3 BHK,1400.0,3.0,2.0,90.0
49,type_I,Ready To Move,Kalyan nagar,2 BHK,1280.0,2.0,1.0,48.0
50,type_II,Ready To Move,Anekal,1 BHK,400.0,1.0,1.0,11.5
51,type_I,18-Dec,Kudlu Gate,3 BHK,1564.0,2.0,1.0,92.0
52,type_I,Ready To Move,Thippasandra,1 BHK,660.0,1.0,0.0,30.0
53,type_I,Ready To Move,Kalyan nagar,3 BHK,2285.0,4.0,1.0,165.0
54,type_I,Ready To Move,Kadubeesanahalli,2 BHK,1185.0,2.0,3.0,55.0
55,type_I,Ready To Move,Dodda Nekkundi,2 BHK,1155.0,2.0,1.0,46.0
56,type_I,Ready To Move,Dommasandra,2 BHK,1153.0,2.0,2.0,43.5
57,type_I,Ready To Move,Old Madras Road,3 BHK,2760.0,5.0,2.0,157.0
58,type_I,19-Dec,Whitefield,1 BHK,709.0,1.0,0.0,34.385
59,type_I,Ready To Move,Jalahalli,1 BHK,615.0,1.0,1.0,46.0
60,type_I,Ready To Move,Lingadheeranahalli,3 BHK,1682.0,3.0,1.0,114.0
61,type_I,Ready To Move,Cunningham Road,3 BHK,3875.0,3.0,2.0,864.0
62,type_I,Ready To Move,Varsova Layout,2 BHK,1088.0,2.0,2.0,43.5
63,type_I,Ready To Move,Ambalipura,3 BHK,1800.0,3.0,3.0,110.0
64,type_I,Ready To Move,Kudlu,4 BHK,2100.0,3.0,1.0,114.0
65,type_II,Ready To Move,Electronics City Phase 1,2 BHK,1080.0,2.0,2.0,46.0
66,type_I,Ready To Move,Electronics City Phase 1,3 BHK,1321.0,2.0,,40.0
67,type_II,Ready To Move,Nandi Durga Road,2 BHK,2015.0,4.0,0.0,325.0
68,type_I,Ready To Move,Virat Nagar,2 BHK,1196.0,2.0,2.0,56.81
69,type_I,Ready To Move,Subramanyapura,2 BHK,929.0,2.0,1.0,56.0
70,type_II,Ready To Move,Nagarbhavi,3 BHK,1630.0,2.0,1.0,98.0
71,type_III,Ready To Move,Nirman Layout,3 Bedroom,800.0,3.0,3.0,60.0
72,type_I,Ready To Move,Sarjapur  Road,2 BHK,1060.0,2.0,1.0,55.0
73,type_I,Ready To Move,Thigalarapalya,2 BHK,1418.0,2.0,2.0,101.0
74,type_I,Ready To Move,Rajiv Nagar,4 BHK,2340.0,5.0,1.0,129.0
75,type_I,19-Aug,Begur Road,4 BHK,2500.0,6.0,0.0,122.5
76,type_I,Ready To Move,Hebbal Kempapura,4 BHK,3729.0,4.0,2.0,384.0
